match,bandwidth_label,bandwidth_sec,num_segments,pred_total_sec,gt_total_sec,overlap_sec,time_precision,time_recall,time_f1,gt_mean_duration_sec,pred_mean_duration_sec,duration_diff_sec
T1 vs NS - HLE vs KT  2024 LCK 스프링 스플릿_4,1.0,1.0,5,71.22171447631763,654.0,68.09629086057384,0.9561169842831706,0.10412276889996001,0.1877944068725139,23.357142857142858,14.244342895263525,9.112799961879332
NS vs DK - BRO vs T1  2024 LCK 서머 스플릿_4,1.0,1.0,3,38.545030020012746,504.0,34.48202801867842,0.8945907682722053,0.06841672225928258,0.12711213304232644,24.0,12.848343340004249,11.151656659995751
GEN vs DRX - KT vs DK  2023 LCK 서머 스플릿_3,1.0,1.0,5,62.29572381587741,352.0,61.185883922615176,0.9821843326430799,0.17382353387106583,0.2953729927939473,16.761904761904763,12.459144763175482,4.302759998729281
T1 vs NS - HLE vs KT  2024 LCK 스프링 스플릿_4,3.2,3.2,8,184.6940627084723,654.0,164.03441627751818,0.8881412530105851,0.25081715027143453,0.39116627521550984,23.357142857142858,23.086757838559038,0.2703850185838199
NS vs DK - BRO vs T1  2024 LCK 서머 스플릿_4,3.2,3.2,4,78.86257505003323,504.0,71.35630420280154,0.904818339466224,0.14157996865635225,0.24484778147465125,24.0,19.715643762508307,4.284356237491693
GEN vs DRX - KT vs DK  2023 LCK 서머 스플릿_3,3.2,3.2,6,105.72162108072007,352.0,100.0897131420943,0.94672889158287,0.2843457759718588,0.4373388039034463,16.761904761904763,17.620270180120013,0.85836541821525
T1 vs NS - HLE vs KT  2024 LCK 스프링 스플릿_4,5.0,5.0,8,212.82901934623123,654.0,189.73072715143462,0.891470193934314,0.2901081454914902,0.4377581343424125,23.357142857142858,26.603627418278904,3.2464845611360467
NS vs DK - BRO vs T1  2024 LCK 서머 스플릿_4,5.0,5.0,4,89.45783855903937,504.0,77.84957971981339,0.8702376557917293,0.15446345182502658,0.26235926012482397,24.0,22.364459639759843,1.6355403602401566
GEN vs DRX - KT vs DK  2023 LCK 서머 스플릿_3,5.0,5.0,6,127.19491661107395,352.0,113.54483655770446,0.8926837611356154,0.3225705584025695,0.47389833498530276,16.761904761904763,21.199152768512324,4.437248006607561
T1 vs NS - HLE vs KT  2024 LCK 스프링 스플릿_4,7.0,7.0,7,217.8772181454301,654.0,192.24263509006005,0.8823439032608755,0.2939489833181346,0.4409855678967718,23.357142857142858,31.125316877918586,7.768174020775728
NS vs DK - BRO vs T1  2024 LCK 서머 스플릿_4,7.0,7.0,4,102.40760507004643,504.0,84.91308872581749,0.8291678012364144,0.16847835064646327,0.280052848994231,24.0,25.601901267511607,1.6019012675116073
GEN vs DRX - KT vs DK  2023 LCK 서머 스플릿_3,7.0,7.0,6,131.715610406937,352.0,114.61328885923854,0.8701572160288319,0.32560593425920037,0.47388707907448946,16.761904761904763,21.9526017344895,5.190696972584739
T1 vs NS - HLE vs KT  2024 LCK 스프링 스플릿_4,10.0,10.0,6,200.81937958639082,654.0,173.96601067378288,0.8662809885783167,0.26600307442474447,0.40702402128027865,23.357142857142858,33.469896597731804,10.112753740588946
NS vs DK - BRO vs T1  2024 LCK 서머 스플릿_4,10.0,10.0,4,103.58485657104711,504.0,83.87432955303575,0.8097161335113473,0.1664173205417376,0.2760909151896481,24.0,25.896214142761778,1.896214142761778
GEN vs DRX - KT vs DK  2023 LCK 서머 스플릿_3,10.0,10.0,6,121.54404936624405,352.0,105.63362241494315,0.8690974421679944,0.30009551822427033,0.4461406391076619,16.761904761904763,20.257341561040676,3.4954367991359128
T1 vs NS - HLE vs KT  2024 LCK 스프링 스플릿_4,15.0,15.0,4,174.74226150767117,654.0,143.956584389593,0.8238223721470682,0.22011710151313912,0.3474097824520331,23.357142857142858,43.68556537691779,20.328422519774936
NS vs DK - BRO vs T1  2024 LCK 서머 스플릿_4,15.0,15.0,3,86.81234156104028,504.0,64.74731154102778,0.7458307237975151,0.12846688797822972,0.21918063312608835,24.0,28.93744718701343,4.937447187013429
GEN vs DRX - KT vs DK  2023 LCK 서머 스플릿_3,15.0,15.0,2,48.42589726484334,352.0,43.50757171447617,0.8984360470706689,0.12360105600703458,0.2173064829805455,16.761904761904763,24.21294863242167,7.451043870516909
T1 vs NS - HLE vs KT  2024 LCK 스프링 스플릿_4,20.0,20.0,4,162.68442294863144,654.0,136.3470313542357,0.8381074775504971,0.2084816993184032,0.333903837327902,23.357142857142858,40.67110573715786,17.313962880015
NS vs DK - BRO vs T1  2024 LCK 서머 스플릿_4,20.0,20.0,2,68.86257505003277,504.0,53.413569046030716,0.775654541051109,0.10597930366275936,0.18647952012353286,24.0,34.43128752501639,10.431287525016387
GEN vs DRX - KT vs DK  2023 LCK 서머 스플릿_3,20.0,20.0,1,19.692254836557822,352.0,19.267458305537275,0.9784282432587694,0.05473709745891271,0.10367425231397219,16.761904761904763,19.692254836557822,2.9303500746530595
